id,author,bookName
38021,Sydney Anderson,The Baculum in Microtine Rodents
38025,Leo Tolstoy,"Fables for Children, Stories for Children, Natural Science Stories Popular Education, Decembrists, Moral Tales"
38028,George Griffith,The World Masters
38029,Gabrielle E. Jackson,Three Little Women
3803,Emile Gaboriau,File No. 113
38035,Henry James,"The Letters of Henry James, Vol. II"
38039,Chas. A. Siringo,History of 'Billy the Kid'
3804,Guy de Maupassant,Pierre and Jean
38044,Edward Whymper,The Ascent of the Matterhorn
38049,Louisa May Alcott,Louisa May Alcott
3805,Henry Seton Merriman,The Vultures
38052,John Masefield,Reynard the Fox
38054,Richard Marsh,A Duel
3806,Louisa May Alcott,A Modern Cinderella
38060,Inez Haynes Irwin,Out of the Air
38061,John Oxenham,White Fire
38063,Edith Howes,The Sun's Babies
38065,Lewis Carroll,Eight or Nine Wise Words about Letter-Writing
38068,William Lyon Phelps,Essays on Modern Novelists
38069,Harold Bindloss,Northwest!
3807,Charles Darwin,The Different Forms Of Flowers On Plants Of The Same Species
38071,Arthur Conan Doyle,The Guards Came Through and Other Poems
38075,Edgar Fawcett,An Ambitious Woman
38076,Elizabeth Robins Pennell,Our Philadelphia
38079,Godfrey Harold Hardy,Orders of Infinity
3808,Jules Verne,Robur the Conqueror
38083,Ada Cambridge,"A Mere Chance, Vol. 1 of 3"
38084,Ada Cambridge,"A Mere Chance, Vol. 2 of 3"
38085,Ada Cambridge,"A Mere Chance, Vol. 3 of 3"
38087,Harold Bindloss,The Boy Ranchers of Puget Sound
3809,Jules Verne,The Master of the World
38091,William James,"The Letters of William James, Vol. II"
38092,G. W. Foote,The Book Of God
38093,Robert G. Ingersoll,The Christian Religion
38095,Robert G. Ingersoll,Heretics And Heresies
38096,Robert G. Ingersoll,Humboldt
38097,T. H. Huxley,Aphorisms and Reflections from the Works of T. H. Huxley
38098,Robert G. Ingersoll,Individuality
38099,Robert G. Ingersoll,Mistakes of Moses
38101,Robert G. Ingersoll,Thomas Paine
38103,Robert G. Ingersoll,Trial of C. B. Reynolds For Blasphemy
38104,George Jacob Holyoake,English Secularism
38105,Robert G. Ingersoll,Shakespeare
38106,Robert G. Ingersoll,Ingersollia
38107,Robert G. Ingersoll,The Gods
3811,Joseph A. Altsheler,The Star of Gettysburg
38111,George Du Maurier,English Society
38112,Parker Fillmore,Mighty Mikko
38117,Upton Sinclair,The Book of Life: Vol. I Mind and Body; Vol. II Love and Society
3812,Clinton W. Gilbert,The Mirrors of Washington
38120,J. B. Elwell,Bridge Axioms and Laws
38123,Laura Dent Crane,The Automobile Girls at Palm Beach
38127,Julia Ward Howe,From the Oak to the Olive
3813,H. Rider Haggard,The Lady Of Blossholme
38136,Stanley J. Weyman,"Historical Romances: Under the Red Robe, Count Hannibal, A Gentleman of France"
38137,Reuben Gold Thwaites,Stories of the Badger State
38138,John Stuart Mill,Socialism
38139,Willis Fletcher Johnson,"The History of Cuba, vol. 3"
38142,Eug? Sue,The Seven Cardinal Sins: Envy and Indolence
38144,Harold Bindloss,The Mistress of Bonaventure
38145,Friedrich Nietzsche,"Human, All Too Human"
38147,Thomas W. Allies,"St. Peter, His Name and His Office"
38152,Katherine Keene Galt,The Girl Scouts Rally
38156,Richard Marsh,A Second Coming
3816,F. Marion Crawford,The Witch of Prague
38160,Richard Marsh,A Hero of Romance
38161,Richard Marsh,A Master of Deception
38162,John Charles Ryle,Practical Religion
38168,H.A. Bryden,From Veldt Camp Fires
38169,Bertram Mitford,The Heath Hover Mystery
3817,John Galsworthy,To Let
38171,F. E. Mills Young,Imprudence
38173,Annie Heloise Abel,American Indian as Slaveholder and Seccessionist
38175,H. C. Adams,Perils in the Transvaal and Zululand
38176,F. E. Mills Young,The Stronger Influence
38177,Compton Mackenzie,The Passionate Elopement
38179,Harriet Martineau,Household Education
38181,Richard Marsh,A Woman Perfected
38183,J. Wardle,From the Thames to the Tiber
38186,J. C. Snaith,The Sailor
38188,Richard Marsh,Amusement Only
38190,Sabine Baring-Gould,Cornwall
38196,Margaret Murray Robertson,Eunice
38197,Margaret Murray Robertson,The Twa Miss Dawsons
38198,Margaret Robertson,Frederica and her Guardians
38199,Gordon Stables,Kenneth McAlpine
382,Stevenson,Edinburgh Picturesque Notes
3820,Gotthold Ephraim Lessing,Nathan the Wise
38201,Abel Chapman and Walter J. Buck,Wild Spain 
38203,Julia Ward Howe,A Trip to Cuba
38206,F. S. Brereton,A Boy of the Dominion
38207,Sir John Lubbock,On the Origin and Metamorphoses of Insects
38209,Max Duncker,The History of Antiquity
3821,Charles Kingsley,The Roman and the Teuton
38214,Lord Acton,Letters of Lord Acton
38219,Sigmund Freud,A General Introduction to Psychoanalysis
38222,Percy F. Westerman,The Quest of the 'Golden Hope'
38226,Friedrich Nietzsche,"Thoughts Out of Season, Part 2"
38228,Alice Hegan Rice,Captain June
3823,Marie Corelli,Thelma
38230,Thomas Moore,The Odes of Anacreon
38233,Neltje Blanchan,Birds Every Child Should Know
38234,Clarence E. Mulford,Hopalong Cassidy
38236,Gordon Stables,Shireen and her Friends
38237,Gertrude Page,Paddy-The-Next-Best-Thing
